Fp2;F8;FT8;T8;TP8;P8;TP10;O2;Oz;O1;TP9;P7;TP7;T7;FT7;F7;FP1;AFz;F4;FC4;C4;CP4;P4;Pz;P3;CP3;C3;FC3;F3;Fz;FCz;CPz;Cz
-1.294;-0.901;-4.601;1.601;2.380;4.597;-1.802;2.470;-3.239;-4.818;-3.911;-1.568;-0.790;-0.468;1.198;1.561;-1.541;1.624;1.852;1.792;2.097;4.531;5.059;0.419;-1.381;1.754;3.116;3.264;3.545;4.773;6.684;1.744;4.178
0.588;0.015;-3.931;2.214;3.893;7.441;-0.988;5.550;-0.655;-2.438;-1.799;-0.360;0.507;0.531;2.879;2.308;0.496;3.098;3.257;2.401;1.690;4.378;6.277;0.268;-0.745;2.376;3.672;3.591;4.061;6.236;6.406;0.537;1.777
2.421;1.158;-2.687;3.035;5.587;10.135;-0.044;8.404;1.900;0.024;0.265;0.908;1.623;1.554;4.697;3.116;2.730;4.669;4.556;3.241;1.526;4.312;7.408;0.096;-0.123;2.820;4.080;3.898;4.672;7.713;6.102;-0.655;-0.665
4.134;2.468;-1.105;3.973;7.298;12.522;0.817;10.797;4.167;2.321;2.174;2.079;2.337;2.434;6.453;3.913;4.983;6.272;5.759;4.273;1.667;4.393;8.399;-0.020;0.474;3.094;4.342;4.219;5.329;9.160;5.911;-1.673;-2.845
5.664;3.835;0.548;4.803;8.766;14.398;1.457;12.511;5.901;4.205;3.779;2.996;2.563;3.045;8.029;4.640;6.983;7.770;6.921;5.421;2.084;4.609;9.155;-0.045;1.027;3.222;4.486;4.580;5.960;10.476;5.908;-2.401;-4.528
6.926;5.114;2.116;5.297;9.681;15.576;1.878;13.407;6.952;5.516;4.831;3.598;2.383;3.327;9.417;5.253;8.420;8.977;8.058;6.567;2.672;4.890;9.586;0.031;1.551;3.263;4.573;5.001;6.504;11.521;6.099;-2.739;-5.550
7.714;6.092;3.496;5.370;9.780;15.935;2.149;13.452;7.283;6.201;5.110;3.909;1.944;3.256;10.594;5.658;8.978;9.683;9.021;7.507;3.251;5.115;9.624;0.188;2.072;3.285;4.640;5.458;6.894;12.129;6.393;-2.632;-5.835
7.733;6.520;4.523;5.149;9.015;15.464;2.308;12.699;6.923;6.286;4.563;4.013;1.379;2.889;11.439;5.700;8.427;9.700;9.543;7.984;3.616;5.161;9.235;0.375;2.604;3.339;4.693;5.879;7.048;12.136;6.622;-2.095;-5.413
6.763;6.227;5.002;4.833;7.607;14.255;2.300;11.256;5.954;5.865;3.340;4.037;0.832;2.442;11.771;5.269;6.752;8.942;9.379;7.783;3.618;4.956;8.444;0.549;3.155;3.480;4.747;6.201;6.927;11.444;6.617;-1.192;-4.386
4.772;5.198;4.781;4.470;5.895;12.462;1.986;9.275;4.509;5.073;1.739;4.122;0.472;2.224;11.456;4.376;4.195;7.451;8.405;6.804;3.188;4.494;7.325;0.701;3.746;3.769;4.853;6.398;6.557;10.046;6.273;-0.001;-2.896
1.913;3.545;3.796;3.954;4.128;10.241;1.282;6.944;2.757;4.056;0.069;4.355;0.406;2.396;10.456;3.116;1.139;5.353;6.612;5.051;2.281;3.789;5.961;0.827;4.385;4.227;5.050;6.451;5.976;8.003;5.546;1.364;-1.122
